,strategy_nav,hs300_nav,equal_weight_nav
2014-04-07,958652.5589696399,,991037.3795791016
2014-04-08,960066.8572651102,963539.7376377066,992270.2228408228
2014-04-09,972403.9206639215,964099.6046477583,998946.0701073358
2014-04-10,992587.3250728056,979233.2405963886,1001270.610291125
2014-04-11,990304.2774933762,977902.4797801886,996523.9870919592
2014-04-14,987447.8052070396,977015.3059027221,1000565.8029941636
2014-04-15,967998.8048437107,960154.6955615475,993243.2042999386
2014-04-16,969882.2523752963,961476.8430391315,994727.3565782245
2014-04-17,966142.1613821061,958147.7876639776,994228.7704031838
2014-04-18,966301.4186164549,958009.9742461187,995538.9749650536
2014-04-21,949474.9582781991,941976.2444120976,985881.7134536398
2014-04-22,956563.8721270239,946084.8069320159,986076.9149216046
2014-04-23,954637.4521493472,945171.7930387008,983000.020133525
2014-04-24,955818.1102725782,943362.9919293026,981298.7980005695
2014-04-25,947954.7324626937,933612.6926157858,970808.9991449221
2014-04-28,934653.3659077004,919460.9772694003,960477.3531659564
2014-04-29,940730.1164181946,929581.650143413,966736.7529622007
2014-04-30,941760.1621946171,929663.4768602668,970748.0547293405
2014-05-01,941315.9985188748,,971068.5713371166
2014-05-02,940562.9457200597,,970756.0689763683
2014-05-05,943730.377655261,928720.3162817948,971409.8909854444
2014-05-06,931809.2803988808,929090.6898422907,971690.5838421924
2014-05-07,927482.1801729574,920473.0445568017,964202.5091970639
2014-05-08,926054.0439586776,919689.2307427292,961888.8055816708
2014-05-09,928107.7493570845,919004.4703227427,958579.0110625961
2014-05-12,932843.2836105251,938875.4425102725,973196.405032055
2014-05-13,932833.4375746243,936635.9744700653,972016.787726681
2014-05-14,928331.4074250248,935567.9204816588,970850.0745786955
2014-05-15,920358.6842268275,923384.3530090709,961190.0375176956
2014-05-16,924926.5240701097,924189.7001696837,958987.160756898
2014-05-19,930368.5344585815,910920.8520314569,955329.3141885023
2014-05-20,925375.80336291,911192.1721978666,956326.1125096891
2014-05-21,933667.5271276252,919865.8041843609,963489.5248947828
2014-05-22,936728.4953425729,917695.2428530833,964514.264155401
2014-05-23,942114.0835083136,925249.1408194741,971761.6632352084
2014-05-26,942114.0835083136,928509.2894856987,976821.2713334856
2014-05-27,941548.8150582087,924762.48718766,973927.2102003816
2014-05-28,945465.7899263502,934267.3063506155,979541.3343463097
2014-05-29,950328.6565057017,928156.1426024351,973747.1320395577
2014-05-30,951823.8497616807,928716.0096124869,974848.2540129417
2014-06-02,951332.2372215876,,974818.508938347
2014-06-03,950583.4637036616,925899.4478849957,974706.0748861828
2014-06-04,952539.8845718891,916575.5088329797,971329.0727733513
2014-06-05,962378.0297201753,926192.3013979457,980549.1175494364
2014-06-06,966849.6631657562,919353.3105366979,979203.8561838571
2014-06-09,967452.5381341176,919163.817087142,976247.3014672016
2014-06-10,967986.0462686672,930787.5175496781,984141.8366674788
2014-06-11,965890.862442201,930572.1840842735,985947.3831104359
2014-06-12,957461.2897043669,927402.4754735188,982713.5359093886
2014-06-13,964492.1193002228,937234.6015038894,990652.8673382809
2014-06-16,968498.2634426544,943957.3122938187,996113.8568158948
2014-06-17,964326.7351518858,934405.1197684739,989736.6232252612
2014-06-18,963670.2390331695,930343.9306109445,987275.6940784964
2014-06-19,948922.5644473967,915989.8018070789,975321.345884074
2014-06-20,953991.7316801561,920218.9510676239,982584.7378677115
2014-06-23,954263.4940092643,919090.6037089042,986012.9469664529
2014-06-24,950468.2619159179,923703.0465378691,988030.2331801765
2014-06-25,956272.8699080495,918771.9101801054,985702.6619733231
2014-06-26,955656.7225272185,925537.6876631156,992273.1646816458
2014-06-27,958758.5897131476,926045.8746414705,994241.4794406014
2014-06-30,958537.4729335421,932445.5852332929,999401.0082098565
2014-07-01,967196.5631431038,932204.4117520398,1003257.709125959
2014-07-02,970740.6665416522,934921.920085445,1006431.0809932
2014-07-03,977149.416594117,938935.7358805854,1010157.7360440874
2014-07-04,976842.384912559,938294.0421536799,1008826.6669346017
2014-07-07,975889.9387128275,937256.1348504302,1006821.9577452585
2014-07-08,982590.3014910455,939056.3226212119,1008702.2019550919
2014-07-09,977972.8807975545,925378.3408987165,1001207.5680318113
2014-07-10,977786.8901155739,922854.6326841754,998505.085319336
2014-07-11,986644.705674872,925076.8740471503,1001914.3985995116
2014-07-14,999294.6075143914,935305.2136538653,1008118.4821684781
2014-07-15,994164.8477522229,936691.9611710703,1004733.6118635836
2014-07-16,990764.2616987061,934921.920085445,1000948.790154311
2014-07-17,980546.7213379978,928978.7164402803,995178.9665345686
2014-07-18,989030.9064344512,932023.5316411002,998937.9715718554
2014-07-21,986267.9459857524,932949.4655423398,998081.8543872624
2014-07-22,999659.3641021736,944323.3791850067,1006742.5996156033
2014-07-23,989487.7917552486,946532.7005400573,1003695.3764699226
2014-07-24,985302.731171852,963406.2308891559,1006391.6996225351
2014-07-25,993002.7599578075,973501.0637473199,1010723.2863865425
2014-07-28,1002105.2584386637,1000826.880507154,1026219.9829375207
2014-07-29,1008462.6899417819,1004043.9624802974,1029795.9502896608
2014-07-30,1007274.7177117562,1000012.9200079249,1030097.8966165754
2014-07-31,1018443.6275821053,1012174.9541339724,1031133.118956954
2014-08-01,1008324.3858671194,1003195.5486266038,1023663.4742642994
2014-08-04,1026546.2344440086,1023100.974168598,1035311.3554246657
2014-08-05,1027743.0081301705,1020400.6925124251,1035906.8222651047
2014-08-06,1029816.9233884753,1017760.7042265658,1036124.0604692136
2014-08-07,1016968.606372412,1002360.0547808342,1029327.477397621
2014-08-08,1020808.6641105737,1003940.6024169035,1035489.2809102902
2014-08-11,1036033.5419849487,1018678.0247891891,1045195.6830548003
2014-08-12,1036913.0020522795,1015103.489263474,1044864.3862702595
2014-08-13,1036933.4523034259,1015900.2230854707,1046065.7114076217
2014-08-14,1031857.6987235744,1006016.417023403,1043026.9608823978
2014-08-15,1043293.7942104544,1016649.5835450784,1049494.3837953412
2014-08-18,1059072.0219811408,1022644.4672219404,1057410.4819595409
2014-08-19,1062999.4983685126,1022734.9072774104,1059539.3106208472
2014-08-20,1061907.0450631587,1019018.2516645283,1057450.8065553529
2014-08-21,1063206.802427717,1013893.3151879006,1056440.8679250618
2014-08-22,1070882.5611459075,1018682.3314584974,1060347.8354128785
2014-08-25,1062976.10700783,1008992.3255152937,1055181.4036686367
2014-08-26,1043066.484647983,1000908.7072240079,1048015.0244741113
2014-08-27,1047559.8398954831,1002416.0414818397,1049278.854078199
2014-08-28,1038300.9251205795,995391.863840344,1043947.0456931485
2014-08-29,1049050.1737234495,1007024.1776414965,1052185.6433974486
2014-09-01,1058869.617262828,1014358.4354731747,1059728.0601676875
2014-09-02,1066401.2862678024,1027769.4036985685,1067230.4727923821
2014-09-03,1074372.7906947222,1037407.729610075,1071647.4290126401
2014-09-04,1083488.8307896445,1044892.720867536,1076781.698203065
2014-09-05,1087660.784671475,1054815.2869533768,1081739.6690773016
2014-09-08,1087660.784671475,,1081554.0280814061
2014-09-09,1086790.6560437377,1053075.3925529083,1079959.0841921377
2014-09-10,1091677.178393953,1047567.1625078605,1080411.1927917548
2014-09-11,1090409.1840875484,1043699.7734691951,1079340.3853807515
2014-09-12,1103222.2807077107,1050121.0174075582,1082492.7042044178
2014-09-15,1114746.1800628693,1049617.1370985114,1083364.6766393457
2014-09-16,1076723.3773648064,1028759.9376394292,1068619.3604559032
2014-09-17,1085197.1380484055,1034173.4209596989,1072209.5385905849
2014-09-18,1093322.90428015,1037330.2095625292,1075998.5016162903
2014-09-19,1104175.6584455962,1044457.747267419,1080460.292089508
2014-09-22,1092045.5800054662,1024522.1750402682,1067800.8508309214
2014-09-23,1106978.3541712745,1033368.073799086,1073603.956026337
2014-09-24,1121510.340447099,1051628.3516653897,1085361.0757731993
2014-09-25,1121934.3304507574,1049522.3903737331,1079413.2060002866
2014-09-26,1126099.982277896,1049621.4437678193,1083672.8652450503
2014-09-29,1137688.5737824307,1054186.5132343953,1087799.0258501486
2014-09-30,1146599.781125036,1055560.340743676,1090861.2726974604
2014-10-01,1146599.781125036,,1087672.8480982888
2014-10-02,1145682.501300136,,1087704.2541388557
2014-10-03,1158034.2453488277,,1090049.5888249576
2014-10-06,1155540.7198981568,,1089580.1611887466
2014-10-07,1138503.6720596652,,1086367.253324854
2014-10-08,1160311.6881093034,1067356.3079785362,1090529.1221141657
2014-10-09,1136392.5941923815,1068898.0955908324,1088002.935348114
2014-10-10,1131939.2611402797,1062364.8782504592,1080092.0391800362
2014-10-13,1132005.3331915499,1057265.78178968,1074699.852268423
2014-10-14,1128966.1201402384,1053652.486240192,1072888.928398093
2014-10-15,1133135.3079524336,1061107.3308124968,1074019.7168196372
2014-10-16,1115863.3030506196,1052722.2456696446,1068145.043311931
2014-10-17,1103769.6792424435,1051572.3649643844,1067170.5658319904
2014-10-20,1120270.1728505807,1057162.421726286,1075765.7106429304
2014-10-21,1110452.57008125,1047980.602761437,1075711.2903390161
2014-10-22,1096943.7172862685,1041628.2655320032,1069427.8109577508
2014-10-23,1080115.206108492,1031852.1262026379,1063633.4900465228
2014-10-24,1083365.7232184026,1029599.7381545065,1064571.9303062719
2014-10-27,1093236.8066340378,1020176.7457084046,1063906.0257547915
2014-10-28,1120628.3822090423,1040771.2383396934,1080039.76549762
2014-10-29,1135776.1583181974,1055728.3008466917,1088128.0932072909
2014-10-30,1135410.5833795972,1063286.5054823905,1090369.7906319234
2014-10-31,1131704.7488860392,1080250.4758869591,1095575.814498055
2014-11-03,1142643.6371026307,1082072.1970042812,1098334.975464032
2014-11-04,1135756.2756102334,1082339.2105013828,1094751.8780435326
2014-11-05,1133633.4225793437,1078153.127933919,1091533.6659711672
2014-11-06,1139953.0877676108,1079281.4752926389,1095239.6266869735
2014-11-07,1139662.278683135,1077593.2609238673,1092079.8556335394
2014-11-10,1143556.3597402668,1104975.0643847068,1105137.58763468
2014-11-11,1145489.6222151783,1101908.7158373462,1093680.8057776983
2014-11-12,1146215.1237237342,1117287.8319365375,1104374.5095758976
2014-11-13,1148988.6044452065,1111013.0147546497,1097979.6932581675
2014-11-14,1150695.991244974,1111590.108441934,1097007.0125802641
2014-11-17,1149593.8649682489,1105565.0780799154,1102381.873696501
2014-11-18,1156418.8510120627,1094505.551296739,1101527.588230055
2014-11-19,1152888.995480215,1092696.750187341,1103169.264770826
2014-11-20,1156675.2858248672,1092645.0701556439,1102075.7869564954
2014-11-21,1160962.3244948303,1112610.7890679515,1112927.4704730979
2014-11-24,1166318.0252815804,1140948.673115187,1125120.1755830513
2014-11-25,1174920.4648842765,1156581.8827035553,1136148.6588923957
2014-11-26,1187191.7140418135,1172714.6659316625,1144926.2356041174
2014-11-27,1194051.913974406,1186267.7542442235,1151305.3577948867
2014-11-28,1205469.5335795444,1209665.8885950793,1160083.677669163
2014-12-01,1208854.1364627134,1214398.9181646707,1152768.5424281263
2014-12-02,1232886.7167876393,1259244.265669817,1175982.2222720818
2014-12-03,1246975.0972520285,1278025.6505224,1184585.7610038207
2014-12-04,1313375.5358051735,1336940.886657078,1207965.8134386188
2014-12-05,1329753.083762187,1345786.7854158957,1203773.8849414454
2014-12-08,1386780.429810911,1400907.8458901462,1215234.6087177321
2014-12-09,1320628.442308961,1338043.393999949,1185038.3132534956
2014-12-10,1366813.9725934989,1387415.0509478985,1210402.3954020329
2014-12-11,1340065.0670358103,1370817.147434518,1210618.8751266636
2014-12-12,1342140.0414095088,1375218.5634673864,1212416.8068723737
2014-12-15,1348902.6645311962,1385554.5698068037,1218419.4086487617
2014-12-16,1369756.1839466495,1422665.1392346197,1224652.6708488327
2014-12-17,1375580.7916194072,1447299.2876768974,1234815.2221776163
2014-12-18,1371847.0976528493,1440981.4038019285,1238500.8449018435
2014-12-19,1387094.8920726352,1457019.4403052577,1241035.2285354547
