date,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率
2014-01-02,1570.05,1561.1,1570.05,1553.48,15725481,14982557440.0,1.05,-0.87,-13.68,0.09
2014-01-03,1553.45,1536.07,1554.52,1529.15,21899228,18622649344.0,1.63,-1.6,-25.03,0.13
2014-01-06,1534.5,1512.93,1534.5,1498.6,24918198,21063015424.0,2.34,-1.51,-23.14,0.15
2014-01-07,1500.98,1510.65,1515.64,1497.78,15474083,13340968704.0,1.18,-0.15,-2.28,0.09
2014-01-08,1512.09,1515.33,1527.89,1504.43,17721886,15879118080.0,1.55,0.31,4.68,0.11
2014-01-09,1511.98,1503.88,1525.73,1500.57,16341305,15353178112.0,1.66,-0.76,-11.45,0.1
2014-01-10,1500.01,1498.27,1506.78,1493.5,16932726,14651313664.0,0.88,-0.37,-5.61,0.1
2014-01-13,1500.86,1494.61,1510.32,1489.23,17111060,14597809152.0,1.41,-0.24,-3.66,0.1
2014-01-14,1493.89,1499.29,1505.46,1482.91,17662764,14167767552.0,1.51,0.31,4.68,0.11
2014-01-15,1496.83,1488.51,1498.9,1480.18,14720357,12049612288.0,1.25,-0.72,-10.78,0.09
2014-01-16,1489.05,1493.09,1504.43,1482.76,17440886,15600683776.0,1.46,0.31,4.58,0.1
2014-01-17,1487.8,1475.67,1489.61,1470.87,18005644,15240268800.0,1.26,-1.17,-17.42,0.11
2014-01-20,1472.39,1464.84,1476.89,1459.45,12775697,11204582656.0,1.18,-0.73,-10.83,0.08
2014-01-21,1467.15,1478.88,1488.71,1467.15,12677469,11044665088.0,1.47,0.96,14.04,0.08
2014-01-22,1480.84,1514.12,1514.79,1478.08,24158840,19995973120.0,2.48,2.38,35.24,0.14
2014-01-23,1511.79,1499.03,1514.97,1496.66,17430476,15874638080.0,1.21,-1.0,-15.09,0.1
2014-01-24,1493.69,1502.07,1514.11,1491.02,18976131,16293914624.0,1.54,0.2,3.04,0.11
2014-01-27,1491.83,1478.87,1491.83,1475.5,19023414,17812293888.0,1.09,-1.54,-23.2,0.11
2014-01-28,1483.41,1487.8,1492.43,1477.25,14945762,12902299648.0,1.03,0.6,8.93,0.09
2014-01-29,1493.21,1494.49,1498.58,1488.7,14787466,12478066944.0,0.66,0.45,6.69,0.09
2014-01-30,1489.51,1477.35,1489.72,1475.77,12769343,11516851968.0,0.93,-1.15,-17.14,0.08
2014-02-07,1467.36,1475.34,1475.72,1458.49,13826210,12733221888.0,1.17,-0.14,-2.01,0.08
2014-02-10,1480.6,1505.83,1507.36,1480.53,24276844,21744070144.0,1.82,2.07,30.49,0.15
2014-02-11,1505.66,1528.32,1536.46,1500.85,34209193,28992686336.0,2.36,1.49,22.49,0.21
2014-02-12,1528.88,1527.0,1537.89,1521.27,23813775,19870385920.0,1.09,-0.09,-1.32,0.14
2014-02-13,1525.53,1528.02,1548.62,1519.38,35240635,27105820928.0,1.91,0.07,1.02,0.21
2014-02-14,1527.21,1534.24,1536.36,1525.15,21235733,17939545856.0,0.73,0.41,6.22,0.13
2014-02-17,1545.18,1538.11,1549.91,1529.19,26930011,23867966976.0,1.35,0.25,3.87,0.16
2014-02-18,1535.89,1508.54,1535.89,1505.42,25307624,22892298752.0,1.98,-1.92,-29.57,0.15
2014-02-19,1507.49,1533.4,1541.45,1504.95,31626301,24784682240.0,2.42,1.65,24.86,0.19
2014-02-20,1537.94,1520.14,1556.42,1519.36,36126352,27893892608.0,2.42,-0.86,-13.26,0.22
2014-02-21,1517.92,1505.33,1521.77,1496.09,24240112,20407166208.0,1.69,-0.97,-14.81,0.15
