date,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率
2014-01-02,1676.52,1674.78,1676.52,1666.84,9954514,7214052352.0,0.58,-0.4,-6.68,0.07
2014-01-03,1666.33,1649.51,1667.54,1646.59,12122406,8405773312.0,1.25,-1.51,-25.27,0.08
2014-01-06,1648.21,1613.61,1648.21,1607.84,15425477,10062678272.0,2.45,-2.18,-35.9,0.1
2014-01-07,1603.47,1617.84,1623.24,1600.97,10196282,6600717312.0,1.38,0.26,4.23,0.07
2014-01-08,1619.3,1615.36,1628.82,1606.63,11253729,7389305600.0,1.37,-0.15,-2.48,0.08
2014-01-09,1612.33,1602.6,1623.61,1599.3,10634052,7335902208.0,1.5,-0.79,-12.76,0.07
2014-01-10,1598.67,1597.48,1603.48,1590.24,10636025,7072221952.0,0.83,-0.32,-5.12,0.07
2014-01-13,1599.26,1597.86,1606.97,1589.87,9277392,6290345728.0,1.07,0.02,0.38,0.06
2014-01-14,1597.34,1609.42,1609.53,1589.77,8694993,5833974016.0,1.24,0.72,11.56,0.06
2014-01-15,1607.89,1602.95,1609.61,1594.07,8583925,5856119040.0,0.97,-0.4,-6.47,0.06
2014-01-16,1602.98,1606.87,1612.84,1594.16,9965958,6581782272.0,1.17,0.24,3.92,0.07
2014-01-17,1601.77,1590.3,1602.04,1585.0,10953990,7214913024.0,1.06,-1.03,-16.57,0.07
2014-01-20,1588.49,1579.27,1590.71,1574.3,7790562,5077975552.0,1.03,-0.69,-11.03,0.05
2014-01-21,1581.61,1586.56,1598.24,1581.59,7413733,5172614656.0,1.05,0.46,7.29,0.05
2014-01-22,1589.8,1621.14,1621.63,1586.46,13109690,8376961792.0,2.22,2.18,34.58,0.09
2014-01-23,1619.11,1609.86,1620.13,1607.84,10264248,6796227328.0,0.76,-0.7,-11.28,0.07
2014-01-24,1608.48,1620.97,1631.19,1605.91,10881487,7568023552.0,1.57,0.69,11.11,0.07
2014-01-27,1613.89,1609.71,1617.66,1604.98,11090160,7905881856.0,0.78,-0.69,-11.26,0.08
2014-01-28,1611.33,1613.5,1621.72,1605.19,9825076,6742025472.0,1.03,0.24,3.79,0.07
2014-01-29,1616.37,1628.69,1630.3,1614.64,9846814,6697069568.0,0.97,0.94,15.19,0.07
2014-01-30,1625.99,1613.15,1626.12,1611.8,6630951,4655047680.0,0.88,-0.95,-15.54,0.04
